country,ISO,incgrp,wb_region
Aruba,ABW,High income,Latin America & Caribbean
Afghanistan,AFG,Low income,South Asia
Angola,AGO,Lower middle income,Sub-Saharan Africa
Albania,ALB,Upper middle income,Europe & Central Asia
Andorra,AND,High income,Europe & Central Asia
United Arab Emirates,ARE,High income,Middle East & North Africa
Argentina,ARG,Upper middle income,Latin America & Caribbean
Armenia,ARM,Upper middle income,Europe & Central Asia
American Samoa,ASM,Upper middle income,East Asia & Pacific
Antigua and Barbuda,ATG,High income,Latin America & Caribbean
Australia,AUS,High income,East Asia & Pacific
Austria,AUT,High income,Europe & Central Asia
Azerbaijan,AZE,Upper middle income,Europe & Central Asia
Burundi,BDI,Low income,Sub-Saharan Africa
Belgium,BEL,High income,Europe & Central Asia
Benin,BEN,Lower middle income,Sub-Saharan Africa
Burkina Faso,BFA,Low income,Sub-Saharan Africa
Bangladesh,BGD,Lower middle income,South Asia
Bulgaria,BGR,Upper middle income,Europe & Central Asia
Bahrain,BHR,High income,Middle East & North Africa
"Bahamas, The",BHS,High income,Latin America & Caribbean
Bosnia and Herzegovina,BIH,Upper middle income,Europe & Central Asia
Belarus,BLR,Upper middle income,Europe & Central Asia
Belize,BLZ,Upper middle income,Latin America & Caribbean
Bermuda,BMU,High income,North America
Bolivia,BOL,Lower middle income,Latin America & Caribbean
Brazil,BRA,Upper middle income,Latin America & Caribbean
Barbados,BRB,High income,Latin America & Caribbean
Brunei Darussalam,BRN,High income,East Asia & Pacific
Bhutan,BTN,Lower middle income,South Asia
Botswana,BWA,Upper middle income,Sub-Saharan Africa
Central African Republic,CAF,Low income,Sub-Saharan Africa
Canada,CAN,High income,North America
Switzerland,CHE,High income,Europe & Central Asia
Channel Islands,_CH,High income,Europe & Central Asia
Chile,CHL,High income,Latin America & Caribbean
China,CHN,Upper middle income,East Asia & Pacific
Côte d’Ivoire,CIV,Lower middle income,Sub-Saharan Africa
Cameroon,CMR,Lower middle income,Sub-Saharan Africa
"Congo, Dem. Rep.",COD,Low income,Sub-Saharan Africa
"Congo, Rep.",COG,Lower middle income,Sub-Saharan Africa
Colombia,COL,Upper middle income,Latin America & Caribbean
Comoros,COM,Lower middle income,Sub-Saharan Africa
Cabo Verde,CPV,Lower middle income,Sub-Saharan Africa
Costa Rica,CRI,Upper middle income,Latin America & Caribbean
Cuba,CUB,Upper middle income,Latin America & Caribbean
